retour_id,date_retour,client_id,vente_id_origine,produit_id,montant_retour,motif
R0001,2024-02-24,CLI004,V0035,P006,31795,Délai de livraison dépassé
R0002,2024-09-01,CLI008,V0185,P012,231129,Commande en double
R0003,2024-03-16,CLI006,V0067,P011,20182,Changement d'avis
R0004,2024-02-25,CLI019,V0038,P011,15009,Non conforme à la description
R0005,2024-06-21,CLI011,V0149,P005,6115,Changement d'avis
R0006,2024-04-16,CLI013,V0103,P007,49999,Produit défectueux
R0007,2024-03-09,CLI007,V0071,P009,146741,Non conforme à la description
R0008,2024-04-25,CLI005,V0091,P001,425116,Non conforme à la description
R0009,2024-07-06,CLI014,V0135,P001,623841,Produit défectueux
R0010,2024-08-15,CLI008,V0183,P002,296232,Changement d'avis
R0011,2024-08-29,CLI015,V0202,P012,141960,Non conforme à la description
R0012,2024-01-23,CLI010,V0021,P012,121731,Produit défectueux
R0013,2024-03-18,CLI017,V0078,P012,200394,Produit défectueux
R0014,2024-05-29,CLI014,V0129,P001,770521,Délai de livraison dépassé
R0015,2024-05-13,CLI019,V0127,P007,86815,Délai de livraison dépassé
R0016,2024-03-10,CLI015,V0042,P008,66780,Produit défectueux
R0017,2024-02-16,CLI017,V0051,P009,112476,Délai de livraison dépassé
